country,zone,date_MMYY,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
cameroon,Yaounde 1,Jan/20,245721,18817,99,22,18,55787.00,38456.00,20163.00,491565.00,27356.00,56746.00,38958.00
cameroon,Yaounde 1,Feb/20,245721,18817,101,23,16,60499.00,40173.00,23300.00,261948.00,45267.00,199854.00,123580.00
cameroon,Yaounde 1,Mar/20,245721,18817,103,23,16,38845.00,19542.00,14993.00,113356.00,53022.00,168910.00,106543.00
cameroon,Yaounde 1,Apr/20,245721,18817,102,20,17,18015.00,14152.00,8131.00,254157.00,50607.00,54996.00,39945.00
cameroon,Yaounde 1,May/20,245721,18817,99,20,19,77282.00,47855.00,24905.00,161079.00,30364.00,12854.00,7885.00
cameroon,Yaounde 1,Jun/20,245721,18817,100,22,19,79909.00,42671.00,30929.00,336977.00,34378.00,145740.00,106382.00
cameroon,Yaounde 1,Jul/20,245721,18817,99,21,20,7405.00,4494.00,3271.00,279483.00,39895.00,85853.00,55829.00
cameroon,Yaounde 1,Aug/20,245721,18817,103,22,19,34622.00,17544.00,10578.00,108425.00,47687.00,181560.00,137403.00
cameroon,Yaounde 1,Sep/20,245721,18817,103,22,20,79089.00,52010.00,33962.00,354023.00,30625.00,60609.00,45167.00
cameroon,Yaounde 1,Oct/20,245721,18817,99,20,20,65681.00,51069.00,27192.00,208256.00,41410.00,85787.00,59519.00
cameroon,Yaounde 1,Nov/20,245721,18817,99,20,20,86458.00,50858.00,26485.00,160583.00,45269.00,68777.00,43470.00
cameroon,Yaounde 1,Dec/20,245721,18817,98,23,20,42741.00,23710.00,11883.00,176475.00,33329.00,10426.00,7299.00
cameroon,Yaounde 2,Jan/20,102592,4572,63,31,12,8076.00,6326.00,4058.00,492725.00,23278.00,126646.00,88395.00
cameroon,Yaounde 2,Feb/20,102592,4572,66,30,13,40714.00,20865.00,11327.00,277424.00,24667.00,118131.00,89036.00
cameroon,Yaounde 2,Mar/20,102592,4572,65,32,15,20076.00,12544.00,7012.00,108806.00,15858.00,74908.00,46307.00
cameroon,Yaounde 2,Apr/20,102592,4572,62,31,14,5974.00,4461.00,2714.00,468167.00,11958.00,102487.00,65224.00
cameroon,Yaounde 2,May/20,102592,4572,65,31,15,6931.00,4982.00,3414.00,286893.00,22641.00,82755.00,55463.00
cameroon,Yaounde 2,Jun/20,102592,4572,63,30,14,51291.00,26270.00,20762.00,480898.00,21158.00,11525.00,8014.00
cameroon,Yaounde 2,Jul/20,102592,4572,66,32,14,71399.00,54708.00,39740.00,278307.00,24244.00,54645.00,40923.00
cameroon,Yaounde 2,Aug/20,102592,4572,64,32,13,17736.00,12060.00,6386.00,258098.00,17777.00,165948.00,111731.00
cameroon,Yaounde 2,Sep/20,102592,4572,62,32,15,95498.00,70419.00,46205.00,381917.00,23018.00,117469.00,91504.00
cameroon,Yaounde 2,Oct/20,102592,4572,67,33,14,44099.00,25205.00,19086.00,210972.00,15069.00,66985.00,50459.00
cameroon,Yaounde 2,Nov/20,102592,4572,66,32,16,13951.00,9725.00,5830.00,237207.00,23352.00,101793.00,72300.00
cameroon,Yaounde 2,Dec/20,102592,4572,66,31,12,5445.00,3574.00,2836.00,253614.00,11263.00,192853.00,149900.00
cameroon,Yaounde 3,Jan/20,65180,4041,39,23,10,31409.00,22889.00,14886.00,164136.00,15340.00,94235.00,62157.00
cameroon,Yaounde 3,Feb/20,65180,4041,41,25,8,60495.00,44335.00,27214.00,390571.00,13454.00,44808.00,35572.00
cameroon,Yaounde 3,Mar/20,65180,4041,39,25,9,34945.00,20963.00,10932.00,439001.00,14758.00,9327.00,6384.00
cameroon,Yaounde 3,Apr/20,65180,4041,41,25,8,16380.00,10814.00,7502.00,255858.00,7611.00,171421.00,131540.00
cameroon,Yaounde 3,May/20,65180,4041,40,26,7,16421.00,10199.00,5168.00,492746.00,11723.00,25407.00,20098.00
cameroon,Yaounde 3,Jun/20,65180,4041,42,24,8,52938.00,35978.00,25935.00,408466.00,7227.00,81082.00,50778.00
cameroon,Yaounde 3,Jul/20,65180,4041,41,25,9,45708.00,29237.00,19835.00,118111.00,8343.00,35922.00,22777.00
