country,zone,date_MMYY,households,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,w_supplied,total_consumption,metered,ww_capacity
cameroon,Yaounde 1,Jan/20,245721,100,200,81,196,74,174,491565.00,1059717.00,245411.00,48438.00
cameroon,Yaounde 1,Feb/20,245721,100,150,94,112,76,93,261948.00,654807.00,216077.00,51539.00
cameroon,Yaounde 1,Mar/20,245721,100,200,78,171,75,139,113356.00,228062.00,228774.00,25017.00
cameroon,Yaounde 1,Apr/20,245721,100,200,78,177,77,146,254157.00,521828.00,269875.00,17181.00
cameroon,Yaounde 1,May/20,245721,100,150,85,117,75,113,161079.00,325266.00,280167.00,57865.00
cameroon,Yaounde 1,Jun/20,245721,200,100,189,72,162,68,336977.00,729761.00,218229.00,55242.00
cameroon,Yaounde 1,Jul/20,245721,100,150,74,113,74,106,279483.00,605953.00,278441.00,5836.00
cameroon,Yaounde 1,Aug/20,245721,150,200,108,198,99,193,108425.00,244760.00,249537.00,21486.00
cameroon,Yaounde 1,Sep/20,245721,200,100,154,92,141,77,354023.00,815648.00,277657.00,66702.00
cameroon,Yaounde 1,Oct/20,245721,100,200,86,180,77,176,208256.00,502913.00,220263.00,64405.00
cameroon,Yaounde 1,Nov/20,245721,100,150,86,113,84,97,160583.00,382544.00,291869.00,63665.00
cameroon,Yaounde 1,Dec/20,245721,200,100,167,76,137,69,176475.00,356907.00,249939.00,30028.00
cameroon,Yaounde 2,Jan/20,102592,100,150,78,146,73,122,492725.00,1202646.00,107004.00,7811.00
cameroon,Yaounde 2,Feb/20,102592,150,100,120,73,110,65,277424.00,665482.00,141865.00,26693.00
cameroon,Yaounde 2,Mar/20,102592,100,150,76,141,68,115,108806.00,262080.00,139556.00,15353.00
cameroon,Yaounde 2,Apr/20,102592,150,200,145,160,126,137,468167.00,1075705.00,142173.00,5357.00
cameroon,Yaounde 2,May/20,102592,150,200,120,187,100,177,286893.00,713185.00,132226.00,5983.00
cameroon,Yaounde 2,Jun/20,102592,150,150,133,145,112,132,480898.00,1005415.00,126139.00,31583.00
cameroon,Yaounde 2,Jul/20,102592,100,200,96,166,85,135,278307.00,585033.00,101388.00,70357.00
cameroon,Yaounde 2,Aug/20,102592,100,200,72,194,69,159,258098.00,599755.00,113417.00,15670.00
cameroon,Yaounde 2,Sep/20,102592,200,200,170,164,146,152,381917.00,951619.00,146598.00,84575.00
cameroon,Yaounde 2,Oct/20,102592,200,100,159,90,155,72,210972.00,506067.00,108199.00,31046.00
cameroon,Yaounde 2,Nov/20,102592,200,100,198,87,182,81,237207.00,565333.00,102262.00,11903.00
cameroon,Yaounde 2,Dec/20,102592,150,100,144,88,123,85,253614.00,582116.00,109372.00,4511.00
cameroon,Yaounde 3,Jan/20,65180,100,150,96,121,94,117,164136.00,338220.00,73135.00,29423.00
cameroon,Yaounde 3,Feb/20,65180,100,100,81,73,78,63,390571.00,907688.00,69924.00,54268.00
cameroon,Yaounde 3,Mar/20,65180,100,200,95,164,80,138,439001.00,892704.00,80366.00,26933.00
cameroon,Yaounde 3,Apr/20,65180,200,150,200,146,174,128,255858.00,536276.00,81534.00,13732.00
cameroon,Yaounde 3,May/20,65180,150,150,149,110,138,103,492746.00,1145958.00,88608.00,12585.00
cameroon,Yaounde 3,Jun/20,65180,100,100,80,98,74,80,408466.00,933488.00,78031.00,44848.00
cameroon,Yaounde 3,Jul/20,65180,100,150,84,120,83,109,118111.00,274831.00,87289.00,36540.00
cameroon,Yaounde 3,Aug/20,65180,150,100,121,83,114,77,483312.00,1106681.00,82907.00,29195.00
cameroon,Yaounde 3,Sep/20,65180,100,100,75,74,67,69,455990.00,1108840.00,65523.00,16069.00
cameroon,Yaounde 3,Oct/20,65180,100,200,74,196,69,178,299760.00,600263.00,84574.00,60710.00
cameroon,Yaounde 3,Nov/20,65180,100,100,98,87,95,70,449040.00,1053579.00,72541.00,12588.00
cameroon,Yaounde 3,Dec/20,65180,100,150,90,115,86,113,281208.00,631083.00,79271.00,38744.00
cameroon,Yaounde 4,Jan/20,108511,150,100,137,83,112,68,454103.00,969806.00,124304.00,54960.00
cameroon,Yaounde 4,Feb/20,108511,200,200,177,169,157,145,278433.00,637389.00,117522.00,64344.00
cameroon,Yaounde 4,Mar/20,108511,100,100,81,99,71,80,474316.00,1026489.00,101797.00,69368.00
cameroon,Yaounde 4,Apr/20,108511,100,200,81,145,73,138,357603.00,805804.00,117229.00,42487.00
cameroon,Yaounde 4,May/20,108511,100,100,92,81,77,75,207700.00,458537.00,115219.00,23345.00
cameroon,Yaounde 4,Jun/20,108511,150,100,116,74,114,69,252535.00,620874.00,92380.00,27779.00
cameroon,Yaounde 4,Jul/20,108511,100,200,91,191,78,156,495804.00,1193986.00,125419.00,46401.00
cameroon,Yaounde 4,Aug/20,108511,150,150,136,135,135,127,131373.00,304327.00,114845.00,40753.00
cameroon,Yaounde 4,Sep/20,108511,200,150,169,115,156,94,136415.00,322520.00,103466.00,21489.00
cameroon,Yaounde 4,Oct/20,108511,150,100,140,75,120,72,177261.00,384557.00,130623.00,69810.00
cameroon,Yaounde 4,Nov/20,108511,100,200,94,163,80,134,130830.00,275381.00,134749.00,41403.00
cameroon,Yaounde 4,Dec/20,108511,200,200,178,181,159,155,472746.00,1088796.00,98299.00,13891.00
cameroon,Yaounde 5,Jan/20,33711,150,150,111,149,89,125,453854.00,1010952.00,47394.00,58160.00
cameroon,Yaounde 5,Feb/20,33711,200,200,156,156,151,144,247566.00,558990.00,46892.00,85260.00
cameroon,Yaounde 5,Mar/20,33711,200,150,146,115,135,95,261946.00,643439.00,41611.00,11494.00
cameroon,Yaounde 5,Apr/20,33711,150,150,126,140,120,113,462244.00,937995.00,34940.00,61249.00
