date,source,production_m3,service_hours,country
2020-01-01,Ndindan Reservoir,26188,21.72920506252496,Cameroon
2020-01-02,Ndindan Reservoir,21170,20.430711623387985,Cameroon
2020-01-03,Ndindan Reservoir,39209,23.861311262411064,Cameroon
2020-01-04,Ndindan Reservoir,25499,20.37024010335541,Cameroon
2020-01-05,Ndindan Reservoir,21803,23.081464956138433,Cameroon
2020-01-06,Mvog-Betsi River,16366,20.54351608734777,Cameroon
2020-01-07,Mvog-Betsi River,23088,20.489224412529364,Cameroon
2020-01-08,Mvog-Betsi River,25527,23.702743845539295,Cameroon
2020-01-09,Mvog-Betsi River,24843,22.062781863157266,Cameroon
2020-01-10,Ndindan Reservoir,21832,20.578115135572766,Cameroon
2020-01-11,Ndindan Reservoir,22063,23.192951546594365,Cameroon
2020-01-12,Ndindan Reservoir,27857,23.80441483278245,Cameroon
2020-01-13,Ndindan Reservoir,24707,21.20822248946343,Cameroon
2020-01-14,Mvog-Betsi River,23918,20.534727191448717,Cameroon
2020-01-15,Ndindan Reservoir,20715,22.973407481730437,Cameroon
2020-01-16,Ndindan Reservoir,21487,22.101873076230227,Cameroon
2020-01-17,Mvog-Betsi River,20652,23.16103719421982,Cameroon
2020-01-18,Ndindan Reservoir,23126,23.122851622647744,Cameroon
2020-01-19,Mvog-Betsi River,23469,23.3737692256163,Cameroon
2020-01-20,Ndindan Reservoir,22831,22.703477578124282,Cameroon
2020-01-21,Ndindan Reservoir,20388,22.61848153088411,Cameroon
2020-01-22,Ndindan Reservoir,20600,20.047060613023813,Cameroon
2020-01-23,Ndindan Reservoir,21019,23.642189604628204,Cameroon
2020-01-24,Mvog-Betsi River,22216,22.985028055064646,Cameroon
2020-01-25,Ndindan Reservoir,22611,20.495095345414157,Cameroon
2020-01-26,Mvog-Betsi River,23072,21.46236623248313,Cameroon
2020-01-27,Ndindan Reservoir,23641,20.574325475612046,Cameroon
2020-01-28,Mvog-Betsi River,22817,22.114983973674445,Cameroon
2020-01-29,Mvog-Betsi River,17581,22.62360243434895,Cameroon
2020-01-30,Ndindan Reservoir,23032,10.491268039042456,Cameroon
2020-01-31,Ndindan Reservoir,23570,22.893241131377284,Cameroon
2020-02-01,Ndindan Reservoir,21101,22.62839228346285,Cameroon
2020-02-02,Ndindan Reservoir,20615,20.84793236242812,Cameroon
2020-02-03,Ndindan Reservoir,23625,22.24266427968438,Cameroon
2020-02-04,Mvog-Betsi River,22206,21.97910826363542,Cameroon
2020-02-05,Mvog-Betsi River,21381,21.232165032334958,Cameroon
2020-02-06,Mvog-Betsi River,18883,19.08696590390807,Cameroon
2020-02-07,Ndindan Reservoir,20036,20.98440991917746,Cameroon
2020-02-08,Ndindan Reservoir,25342,22.05650516479168,Cameroon
2020-02-09,Mvog-Betsi River,20918,20.348224620308677,Cameroon
2020-02-10,Mvog-Betsi River,24092,22.55137484634828,Cameroon
2020-02-11,Mvog-Betsi River,22390,21.649718521264095,Cameroon
2020-02-12,Ndindan Reservoir,21614,22.070232275646845,Cameroon
