date,source,production_m3,service_hours,country
2020-01-01,Metolong Dam,20230,20.24352827793472,Lesotho
2020-01-02,Mohokare River,23261,20.884150530413486,Lesotho
2020-01-03,Mohokare River,39053,20.46597069945198,Lesotho
2020-01-04,Metolong Dam,27571,20.203008067441644,Lesotho
2020-01-05,Mohokare River,24505,20.620015401782975,Lesotho
2020-01-06,Mohokare River,20743,23.421025573045043,Lesotho
2020-01-07,Metolong Dam,23177,22.408225172040698,Lesotho
2020-01-08,Mohokare River,22771,21.95738896951448,Lesotho
2020-01-09,Mohokare River,24236,23.347121640910462,Lesotho
2020-01-10,Metolong Dam,19365,19.1689615291505,Lesotho
2020-01-11,Metolong Dam,25927,23.57244023015349,Lesotho
2020-01-12,Mohokare River,21139,22.148363438103342,Lesotho
2020-01-13,Metolong Dam,25757,20.827859496088962,Lesotho
2020-01-14,Metolong Dam,25223,22.470829676825225,Lesotho
2020-01-15,Metolong Dam,25438,21.7263590464293,Lesotho
2020-01-16,Mohokare River,19513,18.353951509435433,Lesotho
2020-01-17,Mohokare River,24008,20.389728773778383,Lesotho
2020-01-18,Mohokare River,20495,21.456971106054336,Lesotho
2020-01-19,Mohokare River,23237,23.464077519390287,Lesotho
2020-01-20,Mohokare River,24158,22.460173108183344,Lesotho
2020-01-21,Metolong Dam,22616,21.199024798029324,Lesotho
2020-01-22,Metolong Dam,22780,21.265272677861038,Lesotho
2020-01-23,Metolong Dam,25890,23.71786812206694,Lesotho
2020-01-24,Metolong Dam,22401,10.454833532903182,Lesotho
2020-01-25,Metolong Dam,23190,21.086784170273383,Lesotho
2020-01-26,Mohokare River,20388,23.99002113041835,Lesotho
2020-01-27,Metolong Dam,22972,21.96871809012925,Lesotho
2020-01-28,Metolong Dam,25568,21.19239461929047,Lesotho
2020-01-29,Mohokare River,21159,22.3493485119746,Lesotho
2020-01-30,Metolong Dam,22366,23.177885931645523,Lesotho
2020-01-31,Mohokare River,22193,23.687055995165217,Lesotho
2020-02-01,Mohokare River,23477,21.703193060738084,Lesotho
2020-02-02,Metolong Dam,22908,22.206325301186116,Lesotho
2020-02-03,Metolong Dam,22417,20.602073264670448,Lesotho
2020-02-04,Metolong Dam,20198,23.03008604520537,Lesotho
2020-02-05,Metolong Dam,24122,22.24104327496361,Lesotho
2020-02-06,Metolong Dam,19295,21.12400326522961,Lesotho
2020-02-07,Metolong Dam,19402,21.96054666411778,Lesotho
2020-02-08,Metolong Dam,24798,23.415616012869698,Lesotho
2020-02-09,Metolong Dam,24548,23.205188924437678,Lesotho
2020-02-10,Mohokare River,24646,22.044980020437677,Lesotho
2020-02-11,Metolong Dam,25263,23.332272013925948,Lesotho
2020-02-12,Mohokare River,24494,21.924249370570177,Lesotho
2020-02-13,Metolong Dam,20870,23.941465417390557,Lesotho
2020-02-14,Metolong Dam,19956,21.428444297303656,Lesotho
2020-02-15,Mohokare River,24734,23.71041943659932,Lesotho
2020-02-16,Mohokare River,22116,21.434810694940772,Lesotho
2020-02-17,Metolong Dam,21860,20.716152822626277,Lesotho
2020-02-18,Metolong Dam,23863,23.872151575034973,Lesotho
2020-02-19,Metolong Dam,21762,10.031010490568637,Lesotho
2020-02-20,Mohokare River,23607,21.74811541226273,Lesotho
2020-02-21,Mohokare River,25133,21.972202602709302,Lesotho
2020-02-22,Mohokare River,19394,19.175166326545686,Lesotho
2020-02-23,Metolong Dam,21992,23.448027063813928,Lesotho
2020-02-24,Mohokare River,23600,23.727121942931998,Lesotho
2020-02-25,Metolong Dam,20542,20.03092391160342,Lesotho
2020-02-26,Mohokare River,21059,19.39586199221981,Lesotho
2020-02-27,Mohokare River,21460,22.471246841341863,Lesotho
2020-02-28,Mohokare River,25535,22.56595116782593,Lesotho
2020-02-29,Metolong Dam,23471,20.124450717058938,Lesotho
2020-03-01,Mohokare River,19624,21.42483347504991,Lesotho
2020-03-02,Metolong Dam,24588,22.523266052746404,Lesotho
2020-03-03,Metolong Dam,22530,20.938460966961426,Lesotho
2020-03-04,Metolong Dam,23140,23.39381739546997,Lesotho
2020-03-05,Mohokare River,23493,20.092732397352925,Lesotho
2020-03-06,Metolong Dam,22816,15.684416316949347,Lesotho
2020-03-07,Metolong Dam,26296,23.667087162830445,Lesotho
2020-03-08,Mohokare River,22921,22.794066012835767,Lesotho
2020-03-09,Metolong Dam,19124,18.29281981387908,Lesotho
2020-03-10,Mohokare River,22571,21.870180107535376,Lesotho
2020-03-11,Metolong Dam,22590,21.555700559593035,Lesotho
2020-03-12,Mohokare River,21923,23.186939976625087,Lesotho
2020-03-13,Metolong Dam,20684,21.015361594374596,Lesotho
2020-03-14,Metolong Dam,22615,21.460916972268834,Lesotho
2020-03-15,Metolong Dam,25691,22.971198038854673,Lesotho
2020-03-16,Mohokare River,22656,23.94742385755541,Lesotho
2020-03-17,Metolong Dam,24739,21.28380278496742,Lesotho
2020-03-18,Metolong Dam,23637,23.296630384094207,Lesotho
2020-03-19,Mohokare River,29392,23.11541942548787,Lesotho
2020-03-20,Mohokare River,23487,20.435684861892717,Lesotho
2020-03-21,Mohokare River,20777,20.22370775554011,Lesotho
2020-03-22,Mohokare River,23139,22.55663265838473,Lesotho
2020-03-23,Mohokare River,23589,23.53243335873559,Lesotho
2020-03-24,Metolong Dam,22489,21.515644940080143,Lesotho
2020-03-25,Mohokare River,24477,23.66002926025823,Lesotho
2020-03-26,Mohokare River,26401,22.683272768874133,Lesotho
2020-03-27,Metolong Dam,20592,21.74900235846024,Lesotho
2020-03-28,Metolong Dam,39381,23.90745896297369,Lesotho
2020-03-29,Mohokare River,25077,20.29102035605309,Lesotho
2020-03-30,Metolong Dam,23500,21.49298960682205,Lesotho
2020-03-31,Mohokare River,36336,21.29988734220916,Lesotho
2020-04-01,Metolong Dam,22135,20.411530680986022,Lesotho
2020-04-02,Metolong Dam,22496,21.50130647431023,Lesotho
2020-04-03,Metolong Dam,21500,20.412663456828245,Lesotho
2020-04-04,Mohokare River,24366,23.15068010246835,Lesotho
2020-04-05,Metolong Dam,20291,22.039751622413856,Lesotho
2020-04-06,Metolong Dam,21314,22.30046894690328,Lesotho
2020-04-07,Metolong Dam,17776,21.40858602357392,Lesotho
2020-04-08,Metolong Dam,20770,20.50674115905918,Lesotho
2020-04-09,Metolong Dam,21847,21.812151174532186,Lesotho
2020-04-10,Mohokare River,22596,22.456902457751585,Lesotho
2020-04-11,Metolong Dam,30925,21.300295049824538,Lesotho
2020-04-12,Metolong Dam,21114,20.191258736142654,Lesotho
2020-04-13,Mohokare River,23613,23.73683115129242,Lesotho
2020-04-14,Metolong Dam,23706,21.434936430534773,Lesotho
2020-04-15,Mohokare River,20218,23.512314122673054,Lesotho
2020-04-16,Mohokare River,24618,23.767102311633604,Lesotho
2020-04-17,Metolong Dam,22708,23.147920790845717,Lesotho
2020-04-18,Metolong Dam,19406,20.013899025325628,Lesotho
2020-04-19,Mohokare River,19505,21.396406305387515,Lesotho
2020-04-20,Mohokare River,21594,23.16168831217829,Lesotho
2020-04-21,Mohokare River,17782,18.70795529155146,Lesotho
2020-04-22,Mohokare River,22818,22.579889226613613,Lesotho
2020-04-23,Metolong Dam,22621,20.63383927523663,Lesotho
2020-04-24,Mohokare River,25937,23.66024903781963,Lesotho
2020-04-25,Mohokare River,19261,12.080733863165326,Lesotho
2020-04-26,Mohokare River,24069,20.627182443929225,Lesotho
2020-04-27,Mohokare River,23691,20.586833440555413,Lesotho
2020-04-28,Mohokare River,23123,21.201233584871932,Lesotho
2020-04-29,Metolong Dam,22841,20.29537590223473,Lesotho
2020-04-30,Mohokare River,23663,23.773437055306058,Lesotho
2020-05-01,Mohokare River,16257,21.179423889792655,Lesotho
2020-05-02,Metolong Dam,23101,20.84172196144564,Lesotho
2020-05-03,Metolong Dam,19576,20.110376291565625,Lesotho
2020-05-04,Mohokare River,19931,19.33905624595047,Lesotho
2020-05-05,Mohokare River,22123,22.474278673634796,Lesotho
2020-05-06,Metolong Dam,19729,20.935687428896077,Lesotho
2020-05-07,Metolong Dam,35793,21.35950593533611,Lesotho
2020-05-08,Metolong Dam,22665,23.29437892176783,Lesotho
2020-05-09,Mohokare River,22429,23.12203316239601,Lesotho
2020-05-10,Mohokare River,22041,22.099099525399552,Lesotho
2020-05-11,Mohokare River,21353,23.92837831022846,Lesotho
2020-05-12,Metolong Dam,26448,22.898057712365976,Lesotho
2020-05-13,Mohokare River,22966,21.485130649339744,Lesotho
2020-05-14,Metolong Dam,24524,22.643375564280465,Lesotho
2020-05-15,Metolong Dam,21549,22.314959872032418,Lesotho
2020-05-16,Metolong Dam,22583,23.83955626480614,Lesotho
2020-05-17,Mohokare River,23818,23.40469549855024,Lesotho
2020-05-18,Metolong Dam,27841,21.129230325131033,Lesotho
2020-05-19,Metolong Dam,25691,23.142632122257154,Lesotho
2020-05-20,Mohokare River,20069,23.318186322438546,Lesotho
2020-05-21,Mohokare River,21340,23.730714586544003,Lesotho
2020-05-22,Metolong Dam,21865,20.333444328270225,Lesotho
2020-05-23,Metolong Dam,25928,23.610889760416438,Lesotho
2020-05-24,Mohokare River,23832,22.65218430721192,Lesotho
2020-05-25,Metolong Dam,21634,22.669709777996946,Lesotho
2020-05-26,Metolong Dam,23467,23.910135546795726,Lesotho
2020-05-27,Metolong Dam,25005,23.29258952798601,Lesotho
2020-05-28,Metolong Dam,23466,23.465427113104518,Lesotho
2020-05-29,Mohokare River,20566,22.14593259984984,Lesotho
2020-05-30,Mohokare River,16527,18.49352714671519,Lesotho
2020-05-31,Metolong Dam,20359,22.17709667015449,Lesotho
2020-06-01,Mohokare River,18810,19.640839826228884,Lesotho
2020-06-02,Metolong Dam,39192,23.288638818442116,Lesotho
2020-06-03,Mohokare River,25087,21.87110408360221,Lesotho
2020-06-04,Mohokare River,23319,22.88073231475616,Lesotho
2020-06-05,Mohokare River,23581,21.935615259851176,Lesotho
2020-06-06,Metolong Dam,22150,20.132085418662935,Lesotho
2020-06-07,Metolong Dam,22597,22.1294053364891,Lesotho
2020-06-08,Metolong Dam,21965,21.07981451319148,Lesotho
2020-06-09,Metolong Dam,22573,16.809727318544333,Lesotho
2020-06-10,Metolong Dam,20979,23.990157666487214,Lesotho
2020-06-11,Metolong Dam,23617,21.500133694737734,Lesotho
2020-06-12,Mohokare River,25539,20.80358325884563,Lesotho
2020-06-13,Metolong Dam,23346,21.854088213546277,Lesotho
2020-06-14,Mohokare River,18734,19.943000965443183,Lesotho
2020-06-15,Metolong Dam,23327,20.696250687189508,Lesotho
2020-06-16,Metolong Dam,22129,23.134919657910142,Lesotho
2020-06-17,Mohokare River,24609,20.63932484842627,Lesotho
2020-06-18,Metolong Dam,25832,21.49574631197912,Lesotho
2020-06-19,Mohokare River,25156,21.305976098420803,Lesotho
2020-06-20,Metolong Dam,22589,22.75369213228945,Lesotho
2020-06-21,Metolong Dam,20760,20.69117818663546,Lesotho
2020-06-22,Metolong Dam,24191,21.703570654234085,Lesotho
2020-06-23,Metolong Dam,21252,21.686863035982213,Lesotho
2020-06-24,Mohokare River,21971,20.98551978769753,Lesotho
2020-06-25,Metolong Dam,24089,21.38282033409997,Lesotho
2020-06-26,Metolong Dam,23273,23.708729430109166,Lesotho
2020-06-27,Mohokare River,24006,20.906078775643238,Lesotho
2020-06-28,Metolong Dam,21680,22.520663869569418,Lesotho
2020-06-29,Mohokare River,22739,23.757302962094318,Lesotho
2020-06-30,Metolong Dam,22533,23.278364439090204,Lesotho
2020-07-01,Mohokare River,22471,20.724310800103083,Lesotho
2020-07-02,Mohokare River,21761,23.5009306960956,Lesotho
2020-07-03,Metolong Dam,19645,21.924907164850072,Lesotho
2020-07-04,Metolong Dam,20307,12.432780092941673,Lesotho
2020-07-05,Metolong Dam,22185,23.571259599837703,Lesotho
2020-07-06,Mohokare River,22585,23.260021156611273,Lesotho
2020-07-07,Metolong Dam,22021,16.932619715756985,Lesotho
2020-07-08,Metolong Dam,22043,22.608217195518886,Lesotho
2020-07-09,Mohokare River,22057,21.761946081267716,Lesotho
2020-07-10,Metolong Dam,20736,21.883941231441884,Lesotho
2020-07-11,Metolong Dam,20937,20.777106253483886,Lesotho
2020-07-12,Metolong Dam,20699,20.4466480166485,Lesotho
2020-07-13,Mohokare River,22549,21.01923583662892,Lesotho
2020-07-14,Metolong Dam,24001,22.386806133924633,Lesotho
2020-07-15,Metolong Dam,19370,17.834526836904153,Lesotho
2020-07-16,Mohokare River,23042,22.529563963227112,Lesotho
2020-07-17,Mohokare River,25583,23.095905774130017,Lesotho
2020-07-18,Mohokare River,21708,23.486288385123153,Lesotho
2020-07-19,Metolong Dam,22643,20.260482528968907,Lesotho
2020-07-20,Mohokare River,19416,19.161316896785593,Lesotho
2020-07-21,Mohokare River,21549,23.047811706021307,Lesotho
2020-07-22,Metolong Dam,19316,18.614646545644753,Lesotho
2020-07-23,Metolong Dam,17053,18.596559604884792,Lesotho
2020-07-24,Metolong Dam,21824,21.75817158921092,Lesotho
2020-07-25,Mohokare River,21647,21.73517205060196,Lesotho
2020-07-26,Mohokare River,23838,20.436243342119763,Lesotho
2020-07-27,Metolong Dam,22862,23.53803808306251,Lesotho
2020-07-28,Metolong Dam,23482,23.23717603447697,Lesotho
2020-07-29,Metolong Dam,20246,21.09625293854576,Lesotho
2020-07-30,Metolong Dam,22912,23.405775840833833,Lesotho
2020-07-31,Mohokare River,22371,23.989904741387292,Lesotho
2020-08-01,Metolong Dam,25000,20.739302698888217,Lesotho
2020-08-02,Metolong Dam,24707,23.573631827984883,Lesotho
2020-08-03,Mohokare River,22396,22.94381392713953,Lesotho
2020-08-04,Mohokare River,21907,22.821477852849192,Lesotho
2020-08-05,Mohokare River,21151,20.474906664867433,Lesotho
2020-08-06,Mohokare River,20443,20.864375808260014,Lesotho
2020-08-07,Mohokare River,26534,23.154777732019365,Lesotho
2020-08-08,Mohokare River,18999,21.12353151186608,Lesotho
2020-08-09,Mohokare River,22918,21.829809662681157,Lesotho
2020-08-10,Metolong Dam,21315,23.56687673809692,Lesotho
2020-08-11,Metolong Dam,20631,23.418453576971164,Lesotho
2020-08-12,Metolong Dam,17717,21.07738568518572,Lesotho
2020-08-13,Metolong Dam,23669,20.83033593014996,Lesotho
2020-08-14,Metolong Dam,20896,23.453256373255616,Lesotho
2020-08-15,Metolong Dam,20714,20.036724779579483,Lesotho
2020-08-16,Metolong Dam,19596,20.663656372666942,Lesotho
2020-08-17,Mohokare River,23609,22.10522639174002,Lesotho
2020-08-18,Metolong Dam,24112,22.969941392511906,Lesotho
2020-08-19,Metolong Dam,23544,23.427028793479238,Lesotho
2020-08-20,Mohokare River,25443,22.072605083935553,Lesotho
2020-08-21,Metolong Dam,21342,21.061876536496055,Lesotho
2020-08-22,Mohokare River,22139,22.150609992698225,Lesotho
2020-08-23,Metolong Dam,21211,22.132499411205853,Lesotho
2020-08-24,Metolong Dam,22648,20.65134226682124,Lesotho
2020-08-25,Mohokare River,22448,18.783750023815124,Lesotho
2020-08-26,Mohokare River,25932,22.33327538416262,Lesotho
2020-08-27,Metolong Dam,21912,21.153137600173455,Lesotho
2020-08-28,Metolong Dam,25226,22.43658246253682,Lesotho
2020-08-29,Mohokare River,23050,20.974585366179607,Lesotho
2020-08-30,Mohokare River,21170,23.72628837791588,Lesotho
2020-08-31,Mohokare River,23248,22.07171057591305,Lesotho
2020-09-01,Metolong Dam,25102,20.726924815092143,Lesotho
2020-09-02,Mohokare River,21128,20.779143093126958,Lesotho
2020-09-03,Metolong Dam,23080,20.62992688563871,Lesotho
2020-09-04,Metolong Dam,19225,18.53859124682218,Lesotho
2020-09-05,Metolong Dam,21204,22.901698125465472,Lesotho
2020-09-06,Metolong Dam,18425,21.733085777258985,Lesotho
2020-09-07,Metolong Dam,20326,22.853966153106718,Lesotho
2020-09-08,Mohokare River,22994,23.74412827121292,Lesotho
2020-09-09,Metolong Dam,23503,20.34357035567748,Lesotho
2020-09-10,Metolong Dam,22081,23.82382932199406,Lesotho
2020-09-11,Mohokare River,22016,21.176559522253584,Lesotho
2020-09-12,Metolong Dam,20456,21.075604310554578,Lesotho
2020-09-13,Mohokare River,23010,22.780795080802044,Lesotho
2020-09-14,Metolong Dam,24259,21.817431264989803,Lesotho
2020-09-15,Mohokare River,22655,21.864736131180884,Lesotho
2020-09-16,Mohokare River,24919,21.591722597374716,Lesotho
2020-09-17,Metolong Dam,22487,22.475253036357607,Lesotho
2020-09-18,Metolong Dam,21610,23.32677689121774,Lesotho
2020-09-19,Mohokare River,20572,22.93951711446463,Lesotho
2020-09-20,Mohokare River,20358,22.08486124798161,Lesotho
2020-09-21,Metolong Dam,22398,21.0481276409625,Lesotho
2020-09-22,Metolong Dam,23456,20.499740229544468,Lesotho
2020-09-23,Mohokare River,24206,21.177300205190456,Lesotho
2020-09-24,Metolong Dam,24176,21.12282574263843,Lesotho
2020-09-25,Mohokare River,22295,22.617678473681465,Lesotho
2020-09-26,Mohokare River,20760,22.88137477393454,Lesotho
2020-09-27,Metolong Dam,20850,22.639160005138823,Lesotho
2020-09-28,Mohokare River,25156,23.99677248155528,Lesotho
2020-09-29,Metolong Dam,23510,23.59027064059827,Lesotho
2020-09-30,Mohokare River,19595,19.171748419448054,Lesotho
2020-10-01,Metolong Dam,21089,23.78056061639535,Lesotho
2020-10-02,Metolong Dam,21703,21.746942574299226,Lesotho
2020-10-03,Metolong Dam,23099,20.34755015389673,Lesotho
2020-10-04,Metolong Dam,19855,18.609502373186317,Lesotho
2020-10-05,Mohokare River,22643,23.192858221740202,Lesotho
2020-10-06,Mohokare River,26047,20.912731200353793,Lesotho
2020-10-07,Metolong Dam,22809,20.891967323819237,Lesotho
2020-10-08,Metolong Dam,22315,23.853468233927472,Lesotho
2020-10-09,Mohokare River,20549,23.951330941207573,Lesotho
2020-10-10,Metolong Dam,15309,22.0655502983276,Lesotho
2020-10-11,Metolong Dam,23766,22.739583792593024,Lesotho
2020-10-12,Metolong Dam,24483,23.892777382104274,Lesotho
2020-10-13,Metolong Dam,20580,22.99398963337589,Lesotho
2020-10-14,Mohokare River,22600,20.080653372476842,Lesotho
2020-10-15,Metolong Dam,21809,20.518560585529375,Lesotho
2020-10-16,Metolong Dam,25026,22.812803393083666,Lesotho
2020-10-17,Metolong Dam,21151,23.89941505522674,Lesotho
2020-10-18,Mohokare River,21749,23.274053176820843,Lesotho
2020-10-19,Mohokare River,20050,23.204788408092387,Lesotho
2020-10-20,Mohokare River,22223,20.251707984859177,Lesotho
2020-10-21,Mohokare River,23983,21.331342628797078,Lesotho
2020-10-22,Mohokare River,22727,21.045562808784446,Lesotho
2020-10-23,Metolong Dam,20745,20.387188803962314,Lesotho
2020-10-24,Mohokare River,21901,21.493285929174732,Lesotho
2020-10-25,Metolong Dam,20949,21.390232257700195,Lesotho
2020-10-26,Mohokare River,20395,21.924938048638957,Lesotho
2020-10-27,Mohokare River,23259,20.415636066646144,Lesotho
2020-10-28,Metolong Dam,23262,22.37754148134156,Lesotho
2020-10-29,Metolong Dam,24358,23.412052893828275,Lesotho
2020-10-30,Metolong Dam,26125,20.525419654455014,Lesotho
2020-10-31,Mohokare River,22581,23.669305396059052,Lesotho
2020-11-01,Metolong Dam,24833,21.63652049393586,Lesotho
2020-11-02,Mohokare River,17978,18.273984407959805,Lesotho
2020-11-03,Mohokare River,18889,19.86750989601977,Lesotho
2020-11-04,Metolong Dam,20961,21.196517891732874,Lesotho
2020-11-05,Mohokare River,25344,21.710543823614966,Lesotho
2020-11-06,Mohokare River,23557,20.735869251085482,Lesotho
2020-11-07,Metolong Dam,21180,22.166525726336868,Lesotho
2020-11-08,Metolong Dam,21894,22.810304391684298,Lesotho
2020-11-09,Metolong Dam,21778,21.78390443006667,Lesotho
2020-11-10,Metolong Dam,21328,21.454401101051566,Lesotho
2020-11-11,Mohokare River,20929,21.72788445261286,Lesotho
2020-11-12,Metolong Dam,21468,22.064834344592473,Lesotho
2020-11-13,Mohokare River,21727,23.73466840511499,Lesotho
2020-11-14,Metolong Dam,23846,20.820009673338387,Lesotho
2020-11-15,Mohokare River,18909,20.711392710726624,Lesotho
2020-11-16,Metolong Dam,20311,21.95875117316452,Lesotho
2020-11-17,Metolong Dam,19918,18.33236938884044,Lesotho
2020-11-18,Mohokare River,23548,20.122981463224697,Lesotho
2020-11-19,Metolong Dam,21678,23.896768177333943,Lesotho
2020-11-20,Mohokare River,24532,23.70341602543035,Lesotho
2020-11-21,Mohokare River,22632,21.885350166276872,Lesotho
2020-11-22,Metolong Dam,21467,22.72918235543349,Lesotho
2020-11-23,Metolong Dam,22410,20.622882357523807,Lesotho
2020-11-24,Metolong Dam,24701,20.11678420869656,Lesotho
2020-11-25,Mohokare River,21648,20.269244623090266,Lesotho
2020-11-26,Mohokare River,23663,19.64174764766063,Lesotho
2020-11-27,Metolong Dam,20787,21.336596646908745,Lesotho
2020-11-28,Mohokare River,38720,22.295184134398774,Lesotho
2020-11-29,Metolong Dam,19252,19.05229409382939,Lesotho
2020-11-30,Metolong Dam,26289,22.59955381933364,Lesotho
2020-12-01,Metolong Dam,22530,23.045052815507244,Lesotho
2020-12-02,Metolong Dam,22379,21.301946105412068,Lesotho
2020-12-03,Mohokare River,23299,21.61471642490351,Lesotho
2020-12-04,Metolong Dam,25133,22.34705595965404,Lesotho
2020-12-05,Mohokare River,23884,23.273915081083945,Lesotho
2020-12-06,Metolong Dam,15505,18.298667577338076,Lesotho
2020-12-07,Mohokare River,25778,22.53148337304108,Lesotho
2020-12-08,Mohokare River,21798,11.671440320232861,Lesotho
2020-12-09,Metolong Dam,20794,20.829536188947976,Lesotho
2020-12-10,Mohokare River,25881,23.34433535139089,Lesotho
2020-12-11,Mohokare River,22114,21.53042640282408,Lesotho
2020-12-12,Metolong Dam,22415,21.999503059200865,Lesotho
2020-12-13,Mohokare River,25078,22.898382131170095,Lesotho
2020-12-14,Mohokare River,24005,21.899588826362432,Lesotho
2020-12-15,Mohokare River,22240,23.399980858223326,Lesotho
2020-12-16,Metolong Dam,22676,22.937382014291533,Lesotho
2020-12-17,Mohokare River,23633,23.068106136434587,Lesotho
2020-12-18,Mohokare River,19636,19.8008180513603,Lesotho
2020-12-19,Metolong Dam,21304,23.474091076091682,Lesotho
2020-12-20,Mohokare River,20364,21.849475350268968,Lesotho
2020-12-21,Metolong Dam,22646,21.418332803124443,Lesotho
2020-12-22,Mohokare River,21760,22.022006514748668,Lesotho
2020-12-23,Mohokare River,25929,20.302077631341128,Lesotho
2020-12-24,Mohokare River,18969,21.078414371122918,Lesotho
2020-12-25,Mohokare River,22498,23.473760031882442,Lesotho
2020-12-26,Metolong Dam,20700,22.238486578147292,Lesotho
2020-12-27,Mohokare River,21057,20.597404455847073,Lesotho
2020-12-28,Metolong Dam,20988,21.046094624027244,Lesotho
2020-12-29,Metolong Dam,20622,21.13466814592731,Lesotho
2020-12-30,Metolong Dam,20209,21.209666125147198,Lesotho
2020-12-31,Mohokare River,22146,23.75339179775523,Lesotho
2021-01-01,Mohokare River,22416,22.96705334135057,Lesotho
2021-01-02,Metolong Dam,22729,23.636268774282236,Lesotho
2021-01-03,Metolong Dam,19325,21.459642882916025,Lesotho
2021-01-04,Mohokare River,23192,22.543261284620826,Lesotho
2021-01-05,Mohokare River,19605,21.903048802588625,Lesotho
2021-01-06,Mohokare River,22836,20.5595041336922,Lesotho
2021-01-07,Metolong Dam,22805,20.421091577418096,Lesotho
2021-01-08,Metolong Dam,22798,22.065969832985417,Lesotho
2021-01-09,Metolong Dam,21897,22.229832579687056,Lesotho
2021-01-10,Metolong Dam,24705,23.52496310521265,Lesotho
2021-01-11,Metolong Dam,21921,20.972999807208527,Lesotho
2021-01-12,Metolong Dam,23986,22.395523567339062,Lesotho
2021-01-13,Metolong Dam,21552,19.251586845696195,Lesotho
2021-01-14,Mohokare River,21094,22.46896462186823,Lesotho
2021-01-15,Mohokare River,21895,23.434537581415018,Lesotho
2021-01-16,Metolong Dam,23921,22.345879944484654,Lesotho
2021-01-17,Mohokare River,24995,20.118521491133247,Lesotho
2021-01-18,Mohokare River,19131,19.184903110474103,Lesotho
2021-01-19,Mohokare River,19870,19.065623322313655,Lesotho
2021-01-20,Mohokare River,20581,23.624614618958756,Lesotho
2021-01-21,Mohokare River,21811,23.84421347743355,Lesotho
2021-01-22,Metolong Dam,18891,21.4122639451232,Lesotho
2021-01-23,Mohokare River,22723,23.665008147471667,Lesotho
2021-01-24,Mohokare River,22075,23.568880660417303,Lesotho
2021-01-25,Metolong Dam,21102,21.017328117371317,Lesotho
2021-01-26,Metolong Dam,35492,21.01576239090162,Lesotho
2021-01-27,Metolong Dam,21180,22.508992493946682,Lesotho
2021-01-28,Metolong Dam,22139,21.537122714854377,Lesotho
2021-01-29,Mohokare River,23963,23.312363150150613,Lesotho
2021-01-30,Metolong Dam,24631,21.33119171530831,Lesotho
2021-01-31,Metolong Dam,19964,18.110174191789874,Lesotho
2021-02-01,Metolong Dam,21043,22.25025303758121,Lesotho
2021-02-02,Metolong Dam,23350,20.51905021552621,Lesotho
2021-02-03,Mohokare River,21875,21.706156689296154,Lesotho
2021-02-04,Metolong Dam,18573,21.811544338114103,Lesotho
2021-02-05,Mohokare River,22283,23.79175396792076,Lesotho
2021-02-06,Metolong Dam,20554,22.247714478624196,Lesotho
2021-02-07,Metolong Dam,24299,22.09629752983974,Lesotho
2021-02-08,Mohokare River,22180,22.182156380082276,Lesotho
2021-02-09,Metolong Dam,23123,22.51671861475772,Lesotho
2021-02-10,Mohokare River,21996,22.576090799754347,Lesotho
2021-02-11,Metolong Dam,22047,21.677097464474116,Lesotho
2021-02-12,Mohokare River,21747,21.42617611788484,Lesotho
2021-02-13,Metolong Dam,21762,21.27896700941288,Lesotho
2021-02-14,Metolong Dam,19407,19.57161078524825,Lesotho
2021-02-15,Metolong Dam,24963,23.31060743075326,Lesotho
2021-02-16,Metolong Dam,24171,23.630188275619673,Lesotho
2021-02-17,Mohokare River,23487,21.635399667008578,Lesotho
2021-02-18,Metolong Dam,25156,21.10803675107275,Lesotho
2021-02-19,Mohokare River,22711,13.685196990568151,Lesotho
2021-02-20,Metolong Dam,23234,23.37163606995762,Lesotho
2021-02-21,Metolong Dam,21345,20.387616185184562,Lesotho
2021-02-22,Mohokare River,22711,23.316444301023335,Lesotho
2021-02-23,Mohokare River,20585,21.7619207105086,Lesotho
2021-02-24,Metolong Dam,21793,23.620308721427385,Lesotho
2021-02-25,Metolong Dam,24243,21.750265437495393,Lesotho
2021-02-26,Mohokare River,21530,23.700373857024886,Lesotho
2021-02-27,Mohokare River,24983,22.554188789374106,Lesotho
2021-02-28,Mohokare River,21036,22.362393703592243,Lesotho
2021-03-01,Mohokare River,21530,20.23423263963,Lesotho
2021-03-02,Mohokare River,22987,21.05696423400586,Lesotho
2021-03-03,Metolong Dam,21249,23.296324189930292,Lesotho
2021-03-04,Metolong Dam,25047,22.70975581103272,Lesotho
2021-03-05,Metolong Dam,20620,21.431628702896045,Lesotho
